Item,Mins,Secs,Bonus,Effect,Total Sec,Bonus * Total Sec,Type
Nightmare Sausage,02,00,1612,% Flora Analysis Rewards,120,"193,440",Edible Product
Nip Nip Buds,00,06,-100,% Unspecified,6,-600,Medicinal Substance
Non-Euclidean Flatfish,02,00,25,% Breathing Efficiency,120,"3,000",Fish
Non-Toxic Mushrooms,03,00,29,% Toxic Resistance,180,"5,220",Raw Ingredient
Nourishing Oozer,10,00,6385,% Mineral Analysis Rewards,600,"3,831,000",Edible Product
Nourishing Slime,02,00,16,% Sprint Distance,120,"1,920",Raw Ingredient
Nucleic Skipper,01,00,29,% Breathing Efficiency,60,"1,740",Fish
Ocean's Star,03,00,37,% Breathing Efficiency,180,"6,660",Fish
Offal Sac,01,30,5,% Sprint Recovery Time,90,450,Raw Ingredient
Oilfin,00,30,21,% Breathing Efficiency,30,630,Fish
Omelette,06,30,50,% Solar Panel Power,390,"19,500",Edible Product
Ossified Deinosuchus,03,53,2780,% Fauna Analysis Rewards,233,"647,740",Fish
Pale Snowtail,01,30,32,% Breathing Efficiency,90,"2,880",Fish
Parasitic Omelette,06,30,54,% Solar Panel Power,390,"21,060",Edible Product
Partially Liquid Cheese,07,00,23,% Hazard Protection Battery,420,"9,660",Edible Product
Pastry,05,00,23,% Shield Strength,300,"6,900",Edible Product
Perpetual Cake,10,00,329,% Jetpack Tanks,600,"197,400",Edible Product
Perpetual Honeycake,10,00,326,% Jetpack Tanks,600,"195,600",Edible Product
Perpetual Ice Cream,10,00,320,% Jetpack Tanks,600,"192,000",Edible Product
Perpetual Jam Fluffer,10,00,302,% Jetpack Tanks,600,"181,200",Edible Product
Pickled Fish,04,30,37,% Breathing Efficiency,270,"9,990",Edible Product
Pie Case,05,00,55,% Life Support Tanks,300,"16,500",Edible Product
Pilgrim's Tonic,07,00,77,% Life Support Tanks,420,"32,340",Edible Product
Pilgrimberry,03,00,29,% Life Support Tanks,180,"5,220",Raw Ingredient
Plasmatic Squid,01,30,31,% Breathing Efficiency,90,"2,790",Fish
Pollen Puffball,10,00,-39,% Recharge Time,600,"-23,400",Edible Product
Polyscale Bloater,02,00,24,% Breathing Efficiency,120,"2,880",Fish
Pondskipper,00,30,23,% Breathing Efficiency,30,690,Fish
Popping Stew,06,30,39,% Toxic Resistance,390,"15,210",Edible Product
Pressurised Clam,00,30,20,% Breathing Efficiency,30,600,Fish
Prickly Curiosity,10,00,64,% Heat Resistance,600,"38,400",Edible Product
Primardial Sponge,10,00,6553,% Flora Analysis Rewards,600,"3,931,800",Edible Product
Processed Meat,05,00,20,% Hazard Protection Battery,300,"6,000",Edible Product
Processed Sugar,05,00,37,% Solar Panel Power,300,"11,100",Edible Product
Proteinous Doughnut,10,00,51,% Resources Mined,600,"30,600",Edible Product
Proto-Batter,04,00,27,% Sprint Distance,240,"6,480",Edible Product
Proto-Beignet,08,00,26,% Hazard Protection Battery,480,"12,480",Edible Product
Proto-Butter,06,00,227,% Jetpack Tanks,360,"81,720",Edible Product
Proto-Cream,06,00,41,% Sprint Distance,360,"14,760",Edible Product
Proto-Oil,06,00,228,% Jetpack Tanks,360,"82,080",Edible Product
Proto-Omelette,06,30,62,% Solar Panel Power,390,"24,180",Edible Product
Proto-Sausage Pie,10,00,8,% Sprint Recovery Time,600,"4,800",Edible Product
ProtoCheese,08,00,51,% Sprint Distance,480,"24,480",Edible Product
ProtoSausage,01,30,5,% Sprint Recovery Time,90,450,Raw Ingredient
Pulp Urchin,01,00,32,% Breathing Efficiency,60,"1,920",Fish
Pulpy Roots,02,00,12,% Hazard Protection Battery,120,"1,440",Raw Ingredient
Purged Ribs,07,30,54,% Toxic Resistance,450,"24,300",Edible Product
Pyrefin,01,00,28,% Breathing Efficiency,60,"1,680",Fish
Quartzshell Crab,03,00,28,% Breathing Efficiency,180,"5,040",Fish
Questionable Biscuit,06,36,14,% Sprint Recovery Time,396,"5,544",Edible Product
Questionably Sweet Cake,10,00,64,% Resources Mined,600,"38,400",Edible Product
Radiant Sunfish,02,00,27,% Breathing Efficiency,120,"3,240",Fish
Rancid Flesh,01,00,5,% Life Support Tanks,60,300,Raw Ingredient
Raw Steak,01,30,9,% Sprint Recovery Time,90,810,Raw Ingredient
Reef eel,01,00,32,% Breathing Efficiency,60,"1,920",Fish
Reef Guardian,03,53,2755,% Fauna Analysis Rewards,233,"641,915",Fish
Refined Flour,18,00,108,% Sprint Distance,1080,"116,640",Edible Product
Refreshing Drink,07,00,79,% Life Support Tanks,420,"33,180",Edible Product
Regis Grease,01,00,5,% Life Support Tanks,60,300,Raw Ingredient
Rimescale Snapper,01,00,21,% Breathing Efficiency,60,"1,260",Fish
Rockfin,01,00,30,% Breathing Efficiency,60,"1,800",Fish
Root Juice,06,00,50,% Solar Panel Power,360,"18,000",Edible Product
Sac-fish,00,30,19,% Breathing Efficiency,30,570,Fish
Salt-Laced Honey Cake,10,00,6214,% Mineral Analysis Rewards,600,"3,728,400",Edible Product
Saltscale Bloater,03,00,40,% Breathing Efficiency,180,"7,200",Fish
Salty Chunks,01,30,6,% Sprint Recovery Time,90,540,Raw Ingredient
Salty Cruncher,06,36,22,% Hazard Protection Battery,396,"8,712",Edible Product
Salty Custard,10,00,14,% Sprint Recovery Time,600,"8,400",Edible Product
Salty Doughnut,10,00,30,% Mining Speed,600,"18,000",Edible Product
Salty Juice,09,00,58,% Breathing Efficiency,540,"31,320",Edible Product
Salty Platter,08,30,48,% Breathing Efficiency,510,"24,480",Edible Product
Salty Surprise,10,00,6428,% Fauna Analysis Rewards,600,"3,856,800",Edible Product
Scaly Meat,01,30,7,% Sprint Recovery Time,90,630,Raw Ingredient
Scooped Innards,01,30,5,% Sprint Recovery Time,90,450,Raw Ingredient
Scorching Sauce,07,00,43,% Heat Resistance,420,"18,060",Edible Product
Scorpionfish,03,00,28,% Breathing Efficiency,180,"5,040",Fish
Scrambled Marrow,06,30,50,% Toxic Resistance,390,"19,500",Edible Product
Screaming Crab,03,00,31,% Breathing Efficiency,180,"5,580",Fish
Sea Cucumber,00,30,21,% Breathing Efficiency,30,630,Fish
Sea's Bounty,10,00,55,% Breathing Efficiency,600,"33,000",Edible Product
Seafood Stew,08,00,58,% Breathing Efficiency,480,"27,840",Edible Product
Seeping Pie,10,00,116,% Life Support Tanks,600,"69,600",Edible Product
Sentient Crab,03,00,2287,% Fauna Analysis Rewards,180,"411,660",Fish
Shadowfin,00,30,28,% Breathing Efficiency,30,840,Fish
Shalebound Starfish,01,00,25,% Breathing Efficiency,60,"1,500",Fish
Shell Puree,05,30,43,% Breathing Efficiency,330,"14,190",Edible Product
Shimmering Lashtail,01,30,23,% Breathing Efficiency,90,"2,070",Fish
Shrieking Flatfish,02,00,32,% Breathing Efficiency,120,"3,840",Fish
Shrieking Oyster,01,00,24,% Breathing Efficiency,60,"1,440",Fish
Shrieking Venttail,03,00,39,% Breathing Efficiency,180,"7,020",Fish
Sievert Beans,03,00,30,% Radiation Resistance,180,"5,400",Raw Ingredient
Silent Angler,01,00,23,% Breathing Efficiency,60,"1,380",Fish
Silicate Crab,01,30,28,% Breathing Efficiency,90,"2,520",Fish
Silicon Egg,04,00,16,% Hazard Protection Battery,240,"3,840",Raw Ingredient
Simple Biscuit,04,00,16,% Hazard Protection Battery,240,"3,840",Edible Product
Singing Sea-Snail,03,00,2241,% Fauna Analysis Rewards,180,"403,380",Fish
Slime Pop,10,00,65,% Toxic Resistance,600,"39,000",Edible Product
Smoked Meat,05,00,33,% Heat Resistance,300,"9,900",Edible Product
Smokey Meat Pie,08,00,25,% Hazard Protection Battery,480,"12,000",Edible Product
Soft and Spiky surprise,10,00,6270,% Flora Analysis Rewards,600,"3,762,000",Edible Product
Soft Custard Fancy,10,00,6355,% Fauna Analysis Rewards,600,"3,813,000",Edible Product
Softened Marrow,03,00,9,% Sprint Recovery Time,180,"1,620",Edible Product
Soiled Soup,06,30,21,% Mining Speed,390,"8,190",Edible Product
Solar Roach,01,30,30,% Breathing Efficiency,90,"2,700",Fish
Solartillo,03,00,25,% Heat Resistance,180,"4,500",Raw Ingredient
Solidified Grease Pie,10,00,316,% Jetpack Tanks,600,"189,600",Edible Product
Spiced 'Apple' Cake,10,00,52,% Resources Mined,600,"31,200",Edible Product
Spiced Ice,10,00,58,% Heat Resistance,600,"34,800",Edible Product
Spicy Fleshballs,10,00,64,% Heat Resistance,600,"38,400",Edible Product
Spikey Tart,10,00,62,% Heat Resistance,600,"37,200",Edible Product
Spiny Starfish,01,00,26,% Breathing Efficiency,60,"1,560",Fish
Splicer's Delight,10,00,6269,% Mineral Analysis Rewards,600,"3,761,400",Edible Product
Sponge of Ambrosia,10,00,6269,% Mineral Analysis Rewards,600,"3,761,400",Edible Product
Spore Dunkers,06,36,4233,% Flora Analysis Rewards,396,"1,676,268",Edible Product
Spotted Protofin,00,30,30,% Breathing Efficiency,30,900,Fish
Spratfin,01,00,29,% Breathing Efficiency,60,"1,740",Fish
Squirming Fancy,10,00,6047,% Fauna Analysis Rewards,600,"3,628,200",Edible Product
Starbirth Delight,10,00,313,% Jetpack Tanks,600,"187,800",Edible Product
Starched Fish,07,30,45,% Breathing Efficiency,450,"20,250",Edible Product
Stargazer,01,30,33,% Breathing Efficiency,90,"2,970",Fish
Starpollen Surprise,10,00,319,% Jetpack Tanks,600,"191,400",Edible Product
Starshell Crab,03,00,2162,% Fauna Analysis Rewards,180,"389,160",Fish
Startling Fancy,10,00,54,% Heat Resistance,600,"32,400",Edible Product
Steamed Vegetables,05,00,23,% Shield Strength,300,"6,900",Raw Ingredient
Stellar Custard,10,00,9,% Sprint Recovery Time,600,"5,400",Edible Product
Stellar Custard Tart,10,00,314,% Jetpack Tanks,600,"188,400",Edible Product
Stellar Ice Cream,10,00,308,% Jetpack Tanks,600,"184,800",Edible Product
Stewed Organs,06,30,9,% Sprint Recovery Time,390,"3,510",Edible Product
Sticky Finger,06,36,74,% Life Support Tanks,396,"29,304",Edible Product
Sticky Honey,02,00,16,% Sprint Distance,120,"1,920",Raw Ingredient
Stonescale Shark,02,00,34,% Breathing Efficiency,120,"4,080",Fish
Strider Sausage,01,30,8,% Sprint Recovery Time,90,720,Raw Ingredient
Sugar Dough,02,00,13,% Hazard Protection Battery,120,"1,560",Edible Product
Sulphurfish,01,30,28,% Breathing Efficiency,90,"2,520",Fish
Sunspine Basker,03,00,34,% Breathing Efficiency,180,"6,120",Fish
Sunspot Eel,03,00,38,% Breathing Efficiency,180,"6,840",Fish
Sweeperfish,01,00,31,% Breathing Efficiency,60,"1,860",Fish
Sweet and Salty Puff,10,00,6287,% Mineral Analysis Rewards,600,"3,772,200",Edible Product
Sweet Cream Dreams,10,00,6022,% Mineral Analysis Rewards,600,"3,613,200",Edible Product
Sweetened Butter,06,00,68,% Life Support Tanks,360,"24,480",Edible Product
Sweetened Mucous,08,00,27,% Hazard Protection Battery,480,"12,960",Edible Product
Sweetened Proto-Butter,08,00,89,% Life Support Tanks,480,"42,720",Edible Product
Sweetroot,02,00,12,% Hazard Protection Battery,120,"1,440",Raw Ingredient
Sweetwater Minnow,01,00,22,% Breathing Efficiency,60,"1,320",Fish
Synthetic Honey,05,00,37,% Solar Panel Power,300,"11,100",Edible Product
Syrup-Drenched Delight,10,00,62,% Resources Mined,600,"37,200",Edible Product
Syrupy Batter,04,00,28,% Sprint Distance,240,"6,720",Edible Product
Syrupy Caramel Slice,10,00,6203,% Mineral Analysis Rewards,600,"3,721,800",Edible Product
Syrupy Nectar,02,00,16,% Sprint Distance,120,"1,920",Raw Ingredient
Syrupy Proto-Butter,06,00,51,% Solar Panel Power,360,"18,360",Edible Product
Syrupy Tingler,10,00,51,% Heat Resistance,600,"30,600",Edible Product
Syrupy Viscera,02,00,15,% Sprint Distance,120,"1,800",Edible Product
Tall Eggs,02,00,16,% Sprint Distance,120,"1,920",Raw Ingredient
Tangy Cheese,06,00,39,% Sprint Distance,360,"14,040",Edible Product
Tangy Organ Surprise,10,00,63,% Sprint Distance,600,"37,800",Edible Product
Tangy Vegetable Stew,10,00,63,% Sprint Distance,600,"37,800",Edible Product
Tendrilla,03,00,39,% Breathing Efficiency,180,"7,020",Fish
Thawed Diamondfin,01,00,25,% Breathing Efficiency,60,"1,500",Fish
The Angler,00,06,-100,% Unspecified,6,-600,Fish
The Hunter Below,03,53,2865,% Fauna Analysis Rewards,233,"667,545",Fish
The Lunker,03,53,2711,% Fauna Analysis Rewards,233,"631,663",Fish
The Maw of Titan,03,53,2771,% Fauna Analysis Rewards,233,"645,643",Fish
The Pie of Knowledge,10,00,56,% Resources Mined,600,"33,600",Edible Product
The Spawning Tart,10,00,61,% Sprint Distance,600,"36,600",Edible Product
The Stellarator,10,00,64,% Resources Mined,600,"38,400",Edible Product
The Toothbreaker,10,00,52,% Resources Mined,600,"31,200",Edible Product
The Worst Stew,06,30,50,% Toxic Resistance,390,"19,500",Edible Product
Thick Meat Stew,10,00,11,% Sprint Recovery Time,600,"6,600",Edible Product
"Thick, Sweet Batter",04,00,11,% Sprint Recovery Time,240,"2,640",Edible Product
Thunderfin,03,30,33,% Breathing Efficiency,210,"6,930",Fish
Tiny Scuttlefish,00,30,28,% Breathing Efficiency,30,840,Fish
Titanworm Larva,03,30,2563,% Fauna Analysis Rewards,210,"538,230",Fish
Tooth Pickers,06,36,43,% Heat Resistance,396,"17,028",Edible Product
Tortured Honey Cake,10,00,6139,% Fauna Analysis Rewards,600,"3,683,400",Edible Product
Toxic Jelly,01,00,27,% Breathing Efficiency,60,"1,620",Fish
Toxic Stonefish,01,30,27,% Breathing Efficiency,90,"2,430",Fish
Traditional Cake,10,00,-39,% Recharge Time,600,"-23,400",Edible Product
Translucent Gulper,03,53,2641,% Fauna Analysis Rewards,233,"615,353",Fish
Twilight Cavefish,01,30,24,% Breathing Efficiency,90,"2,160",Fish
Twisted Gulper,01,30,25,% Breathing Efficiency,90,"2,250",Fish
Unbound Cream Horn,10,00,6362,% Fauna Analysis Rewards,600,"3,817,200",Edible Product
Unbound Monstrosity,10,00,315,% Jetpack Tanks,600,"189,000",Edible Product
Unlovable Jam Turnover,10,00,307,% Jetpack Tanks,600,"184,200",Edible Product
Vampire Squid,03,30,2590,% Fauna Analysis Rewards,210,"543,900",Fish
Vapourfin,02,00,26,% Breathing Efficiency,120,"3,120",Fish
Vectorfin,00,30,21,% Breathing Efficiency,30,630,Fish
Venomouos Triggerfin,00,30,30,% Breathing Efficiency,30,900,Fish
Venomtooth Wriggler,02,00,29,% Breathing Efficiency,120,"3,480",Fish
Very Thick Custard,07,00,32,% Shield Strength,420,"13,440",Edible Product
Viper Eel,03,30,29,% Breathing Efficiency,210,"6,090",Fish
Viscous Custard,07,00,6,% Sprint Recovery Time,420,"2,520",Edible Product
Void Squid,03,30,30,% Breathing Efficiency,210,"6,300",Fish
Volatile Chocolate Fancy,10,00,43,% Shield Strength,600,"25,800",Edible Product
Vy'Ice Cream,10,00,60,% Cold Resistance,600,"36,000",Edible Product
Wailing Batter,04,00,12,% Sprint Recovery Time,240,"2,880",Edible Product
Wailing Caramel Cake,10,00,6068,% Flora Analysis Rewards,600,"3,640,800",Edible Product
Wandering Kelpfin,01,00,28,% Breathing Efficiency,60,"1,680",Fish
Wandering Shellback,01,30,25,% Breathing Efficiency,90,"2,250",Fish
Warden Eel,02,00,34,% Breathing Efficiency,120,"4,080",Fish
Warm Proto-Milk,02,00,16,% Sprint Distance,120,"1,920",Raw Ingredient
Warty Frogfish,00,30,30,% Breathing Efficiency,30,900,Fish
Waspfish,01,00,21,% Breathing Efficiency,60,"1,260",Fish
Well-Smoked Biscuit,02,00,25,% Heat Resistance,120,"3,000",Edible Product
Well-Stirred Stew,06,30,47,% Resources Mined,390,"18,330",Edible Product
Weltscale Clam,01,00,24,% Breathing Efficiency,60,"1,440",Fish
Whipscale Darter,01,00,30,% Breathing Efficiency,60,"1,800",Fish
Whispering Bonefish,02,00,30,% Breathing Efficiency,120,"3,600",Fish
Whispering Jelly,01,00,26,% Breathing Efficiency,60,"1,560",Fish
Whispering Omelette,06,30,10,% Sprint Recovery Time,390,"3,900",Edible Product
Whole Roast Fish,06,00,44,% Breathing Efficiency,360,"15,840",Edible Product
Wild Milk,01,30,11,% Sprint Recovery Time,90,990,Edible Product
Wild Yeast,03,00,1,Words Translated,180,180,Raw Ingredient
Wrackjaw,03,30,39,% Breathing Efficiency,210,"8,190",Fish
Wriggling Doughnut,10,00,6548,% Flora Analysis Rewards,600,"3,928,800",Edible Product
Wriggling Jam,08,00,26,% Hazard Protection Battery,480,"12,480",Edible Product
Wriggling Tack,06,36,39,% Radiation Resistance,396,"15,444",Edible Product
Wriggling Tart,10,00,307,% Jetpack Tanks,600,"184,200",Edible Product
Writhing Brainworm,01,30,25,% Breathing Efficiency,90,"2,250",Fish
Writhing Jam Puff,10,00,6387,% Fauna Analysis Rewards,600,"3,832,200",Edible Product
"Writhing, Roiling Batter",04,00,5,% Sprint Recovery Time,240,"1,200",Edible Product
Xeno-Sponge,10,00,301,% Jetpack Tanks,600,"180,600",Edible Product
,,,,,0,,
,,,,,0,,
,,,,,0,,
,,,,,0,,
,,,,,0,,
,,,,,0,,
,,,,,0,,
,,,,,0,,
,,,,,0,,
,,,,,0,,
,,,,,0,,
,,,,,0,,
,,,,,0,,
,,,,,0,,
,,,,,0,,
,,,,,0,,
,,,,,0,,
,,,,,0,,
,,,,,0,,
,,,,,0,,
,,,,,0,,
,,,,,0,,
,,,,,0,,
,,,,,0,,
,,,,,0,,
,,,,,0,,
,,,,,0,,
,,,,,0,,
,,,,,0,,
,,,,,0,,
,,,,,0,,
,,,,,0,,
,,,,,0,,
,,,,,0,,
,,,,,0,,
,,,,,0,,
,,,,,0,,
,,,,,0,,
,,,,,0,,
,,,,,0,,
,,,,,0,,
,,,,,0,,
,,,,,0,,
,,,,,0,,
,,,,,0,,
,,,,,0,,
,,,,,0,,
,,,,,0,,
,,,,,0,,
,,,,,0,,
,,,,,0,,
,,,,,0,,
,,,,,0,,
,,,,,0,,
,,,,,0,,
,,,,,0,,
,,,,,0,,
,,,,,0,,
,,,,,0,,
,,,,,0,,
,,,,,0,,
,,,,,0,,
,,,,,0,,
,,,,,0,,
,,,,,0,,
,,,,,0,,
,,,,,0,,
,,,,,0,,
,,,,,0,,
,,,,,0,,
,,,,,0,,
,,,,,0,,
,,,,,0,,
,,,,,0,,
,,,,,0,,
,,,,,0,,
,,,,,0,,
,,,,,0,,
,,,,,0,,
,,,,,0,,
,,,,,0,,
,,,,,0,,
,,,,,0,,
,,,,,0,,
,,,,,0,,
,,,,,0,,
,,,,,0,,
,,,,,0,,
,,,,,0,,
,,,,,0,,
,,,,,0,,
,,,,,0,,
,,,,,0,,
,,,,,0,,
,,,,,0,,
,,,,,0,,
,,,,,0,,
,,,,,0,,
,,,,,0,,
,,,,,0,,
,,,,,0,,
,,,,,0,,
,,,,,0,,
,,,,,0,,
,,,,,0,,
,,,,,0,,
,,,,,0,,
,,,,,0,,
,,,,,0,,
,,,,,0,,
,,,,,0,,
,,,,,0,,
,,,,,0,,
,,,,,0,,
,,,,,0,,
,,,,,0,,
,,,,,0,,
,,,,,0,,
,,,,,0,,
,,,,,0,,
,,,,,0,,
,,,,,0,,
,,,,,0,,
,,,,,0,,
,,,,,0,,
,,,,,0,,
,,,,,0,,
,,,,,0,,
,,,,,0,,
,,,,,0,,
,,,,,0,,
,,,,,0,,
,,,,,0,,
,,,,,0,,
,,,,,0,,
,,,,,0,,
,,,,,0,,
,,,,,0,,
,,,,,0,,
,,,,,0,,
,,,,,0,,
,,,,,0,,
,,,,,0,,
,,,,,0,,
,,,,,0,,
,,,,,0,,
,,,,,0,,
,,,,,0,,
,,,,,0,,
,,,,,0,,
,,,,,0,,
,,,,,0,,
,,,,,0,,
,,,,,0,,
,,,,,0,,
,,,,,0,,
,,,,,0,,
,,,,,0,,
,,,,,0,,
,,,,,0,,
,,,,,0,,
,,,,,0,,
,,,,,0,,
,,,,,0,,
,,,,,0,,
,,,,,0,,
,,,,,0,,
,,,,,0,,
,,,,,0,,
,,,,,0,,
,,,,,0,,
,,,,,0,,
,,,,,0,,
,,,,,0,,
,,,,,0,,
,,,,,0,,
,,,,,0,,
,,,,,0,,
,,,,,0,,
,,,,,0,,
,,,,,0,,
,,,,,0,,
,,,,,0,,
,,,,,0,,
,,,,,0,,
,,,,,0,,
,,,,,0,,
,,,,,0,,
,,,,,0,,
,,,,,0,,
,,,,,0,,
,,,,,0,,
,,,,,0,,
,,,,,0,,
,,,,,0,,
,,,,,0,,
,,,,,0,,
,,,,,0,,
,,,,,0,,
,,,,,0,,
,,,,,0,,
,,,,,0,,
,,,,,0,,
,,,,,0,,
,,,,,0,,
,,,,,0,,
,,,,,0,,
,,,,,0,,
,,,,,0,,
,,,,,0,,
,,,,,0,,
,,,,,0,,
,,,,,0,,
,,,,,0,,
,,,,,0,,
,,,,,0,,
,,,,,0,,
,,,,,0,,
,,,,,0,,
,,,,,0,,
,,,,,0,,
,,,,,0,,
,,,,,0,,
,,,,,0,,
,,,,,0,,
,,,,,0,,
,,,,,0,,
,,,,,0,,
,,,,,0,,
,,,,,0,,
,,,,,0,,
,,,,,0,,
,,,,,0,,
,,,,,0,,
,,,,,0,,
,,,,,0,,
,,,,,0,,
,,,,,0,,
,,,,,0,,
,,,,,0,,
,,,,,0,,
,,,,,0,,
,,,,,0,,
,,,,,0,,
,,,,,0,,
,,,,,0,,
,,,,,0,,
,,,,,0,,
,,,,,0,,
,,,,,0,,
,,,,,0,,
,,,,,0,,
,,,,,0,,
,,,,,0,,
,,,,,0,,
,,,,,0,,
,,,,,0,,
,,,,,0,,
,,,,,0,,
,,,,,0,,
,,,,,0,,
,,,,,0,,
,,,,,0,,
,,,,,0,,
,,,,,0,,
,,,,,0,,
,,,,,0,,
,,,,,0,,
,,,,,0,,
,,,,,0,,
,,,,,0,,
,,,,,0,,
,,,,,0,,
,,,,,0,,
,,,,,0,,
,,,,,0,,
,,,,,0,,
,,,,,0,,
,,,,,0,,
,,,,,0,,
,,,,,0,,
,,,,,0,,
,,,,,0,,
,,,,,0,,
,,,,,0,,
,,,,,0,,
,,,,,0,,
,,,,,0,,
,,,,,0,,
,,,,,0,,
,,,,,0,,
,,,,,0,,
,,,,,0,,
,,,,,0,,
,,,,,0,,
,,,,,0,,
,,,,,0,,
,,,,,0,,
,,,,,0,,
,,,,,0,,
,,,,,0,,
,,,,,0,,
,,,,,0,,
,,,,,0,,
,,,,,0,,
,,,,,0,,
,,,,,0,,
,,,,,0,,
,,,,,0,,
,,,,,0,,
,,,,,0,,
,,,,,0,,
,,,,,0,,
,,,,,0,,
,,,,,0,,
,,,,,0,,
,,,,,0,,
,,,,,0,,
,,,,,0,,
,,,,,0,,
,,,,,0,,
,,,,,0,,
,,,,,0,,
,,,,,0,,
,,,,,0,,
,,,,,0,,
,,,,,0,,
,,,,,0,,
,,,,,0,,
,,,,,0,,
,,,,,0,,
,,,,,0,,
,,,,,0,,
,,,,,0,,
,,,,,0,,
,,,,,0,,
,,,,,0,,
,,,,,0,,
,,,,,0,,
,,,,,0,,
,,,,,0,,
,,,,,0,,
,,,,,0,,
,,,,,0,,
,,,,,0,,
,,,,,0,,
,,,,,0,,
,,,,,0,,
,,,,,0,,
,,,,,0,,
,,,,,0,,
,,,,,0,,
,,,,,0,,
,,,,,0,,
,,,,,0,,
,,,,,0,,
,,,,,0,,
,,,,,0,,
,,,,,0,,
,,,,,0,,
,,,,,0,,
,,,,,0,,
,,,,,0,,
,,,,,0,,
,,,,,0,,
,,,,,0,,
,,,,,0,,
,,,,,0,,
,,,,,0,,
,,,,,0,,
,,,,,0,,
,,,,,0,,
,,,,,0,,
,,,,,0,,
,,,,,0,,
,,,,,0,,
,,,,,0,,
,,,,,0,,
,,,,,0,,
,,,,,0,,
,,,,,0,,
,,,,,0,,
,,,,,0,,
,,,,,0,,
,,,,,0,,
,,,,,0,,
,,,,,0,,
,,,,,0,,
,,,,,0,,
,,,,,0,,
,,,,,0,,
,,,,,0,,
,,,,,0,,
,,,,,0,,
,,,,,0,,
,,,,,0,,
,,,,,0,,
,,,,,0,,
,,,,,0,,
,,,,,0,,
,,,,,0,,
,,,,,0,,
,,,,,0,,
,,,,,0,,
,,,,,0,,
,,,,,0,,
,,,,,0,,
,,,,,0,,
,,,,,0,,
,,,,,0,,
,,,,,0,,
,,,,,0,,
,,,,,0,,
,,,,,0,,
,,,,,0,,
,,,,,0,,
,,,,,0,,
,,,,,0,,
,,,,,0,,
,,,,,0,,
,,,,,0,,
,,,,,0,,
